transaction_id,item_id,item_quantity,item_total_price,payment_type_id,location_type_id,transaction_date
TXN_8501819,4,2,6.0,1,0,2023-03-30
TXN_3068204,3,1,1.0,2,2,2023-10-03
TXN_8427104,5,2,10.0,0,1,2023-10-27
TXN_8471743,0,5,15.0,3,1,2023-04-06
TXN_2621580,8,2,3.0,1,1,2023-03-22
TXN_4726376,1,2,6.0,2,1,2023-01-31
TXN_6044979,3,1,1.0,1,1,2023-12-08
TXN_4238417,5,2,10.0,0,0,2023-06-19
TXN_1900620,7,2,8.0,2,0,2023-12-14
TXN_6420335,2,1,2.0,1,2,2023-07-16
TXN_3858209,6,4,16.0,1,0,2023-02-22
TXN_2091733,5,1,5.0,0,1,
TXN_8735480,8,5,7.5,1,0,2023-06-02
TXN_3829165,4,4,12.0,1,1,2023-06-15
TXN_3748616,2,2,4.0,2,1,2023-12-09
TXN_1993289,6,2,8.0,0,1,2023-04-18
TXN_2123367,3,2,2.0,0,0,2023-11-07
TXN_5266394,1,3,9.0,1,1,2023-10-28
TXN_5107946,1,4,12.0,2,0,2023-12-22
TXN_8035512,8,3,4.5,1,0,2023-10-29
TXN_8718498,1,5,15.0,2,0,2023-04-30
TXN_3955361,3,5,5.0,0,2,2023-04-02
TXN_9487821,5,1,5.0,3,2,2023-05-24
TXN_4132730,3,5,5.0,0,1,2023-03-12
TXN_8976658,8,2,3.0,2,1,2023-08-16
TXN_5455936,0,5,15.0,0,1,2023-10-28
TXN_2725602,4,5,15.0,2,0,2023-09-10
TXN_3011323,2,3,6.0,2,0,2023-03-07
TXN_6289610,4,3,9.0,1,2,2023-08-07
TXN_8268061,5,3,15.0,0,2,2023-08-20
TXN_5220895,5,5,25.0,1,1,2023-06-10
TXN_3085509,2,4,8.0,3,1,2023-04-15
TXN_9999113,4,4,12.0,1,2,2023-05-27
TXN_8779771,2,4,8.0,1,1,2023-07-25
TXN_9517146,5,5,25.0,1,2,2023-10-30
TXN_1621920,5,3,15.0,0,2,2023-10-28
TXN_3808639,4,2,6.0,3,2,2023-12-15
TXN_7028009,1,4,12.0,0,2,
TXN_7447872,4,2,6.0,0,0,
TXN_6955416,5,4,20.0,0,1,2023-02-25
TXN_3775339,3,3,3.0,2,0,2023-04-03
TXN_9547091,3,3,3.0,2,0,2023-10-08
TXN_4358673,3,5,5.0,3,2,2023-12-28
TXN_4174591,8,4,6.0,3,0,2023-08-30
TXN_3398520,6,1,4.0,0,1,2023-02-03
TXN_6171384,7,2,8.0,2,0,2023-09-12
TXN_2530938,7,5,20.0,0,2,2023-04-27
TXN_3314971,4,3,9.0,3,0,2023-05-04
TXN_3092382,2,5,10.0,3,0,2023-02-21
TXN_1001832,5,2,10.0,1,2,
TXN_1535311,4,3,9.0,1,0,2023-03-16
TXN_2148617,4,3,9.0,3,0,2023-01-10
TXN_4633784,0,5,15.0,0,1,2023-02-06
TXN_4368416,5,2,10.0,2,2,2023-02-24
TXN_9790731,1,2,6.0,0,0,2023-06-02
TXN_9339456,2,3,6.0,0,2,2023-03-29
TXN_5179020,1,2,6.0,0,2,2023-06-18
TXN_6258471,2,5,10.0,3,1,2023-09-23
TXN_7945375,4,3,9.0,0,0,2023-01-14
TXN_4685453,8,4,6.0,1,1,2023-09-14
TXN_9646452,4,5,15.0,2,0,2023-09-16
TXN_9096052,7,4,16.0,2,2,2023-12-28
TXN_5916991,4,2,6.0,3,2,2023-02-06
TXN_3407169,6,2,8.0,1,1,2023-03-11
TXN_2277042,8,1,1.5,1,0,2023-04-08
TXN_9273729,8,1,1.5,0,0,2023-12-19
TXN_2181545,4,4,12.0,2,2,2023-07-14
TXN_1150033,4,5,15.0,1,1,2023-04-18
TXN_1443912,4,2,6.0,0,0,2023-06-08
TXN_8700451,8,5,7.5,2,2,2023-12-12
TXN_6380550,2,5,10.0,1,1,2023-01-05
TXN_4885518,5,3,15.0,2,1,2023-06-10
TXN_3972167,6,5,20.0,0,1,2023-01-23
TXN_4878378,8,1,1.5,2,0,2023-02-20
TXN_2484241,1,3,9.0,3,0,2023-07-19
TXN_2368126,1,5,15.0,0,1,2023-12-06
TXN_7943008,2,1,2.0,2,0,
TXN_8495063,4,1,3.0,1,0,2023-05-31
TXN_4811133,5,2,10.0,1,0,2023-08-11
TXN_8729570,8,5,7.5,0,1,2023-09-03
TXN_7623634,1,2,6.0,2,1,2023-07-11
TXN_9336980,5,4,20.0,1,1,2023-06-06
TXN_3424331,1,4,12.0,0,0,2023-01-18
TXN_5072031,1,2,6.0,1,2,2023-03-23
TXN_8687151,5,5,25.0,1,0,2023-06-10
TXN_4031509,0,4,16.0,2,2,2023-01-04
TXN_5265095,2,1,2.0,0,0,2023-06-23
TXN_6541415,0,4,12.0,1,1,2023-11-25
TXN_4108138,2,5,10.0,1,0,2023-08-03
TXN_1909796,7,2,8.0,0,2,2023-07-12
TXN_1928241,2,3,6.0,1,1,2023-04-30
TXN_4283157,5,5,25.0,3,1,2023-11-25
TXN_8013032,2,2,4.0,2,0,2023-03-07
TXN_8301424,4,2,6.0,0,0,2023-06-27
TXN_1093800,6,3,12.0,1,2,
TXN_7965998,4,1,3.0,2,1,2023-11-02
TXN_9238666,3,1,1.0,0,2,2023-07-31
TXN_1631695,8,2,3.0,0,1,2023-09-19
TXN_1435086,1,5,15.0,0,0,2023-02-09
TXN_3226832,0,5,20.0,1,0,2023-09-04
TXN_1648671,6,3,12.0,1,2,2023-05-21
TXN_4062737,1,3,9.0,1,1,2023-07-02
TXN_3494565,0,2,8.0,0,0,2023-07-10
TXN_9249507,3,4,4.0,2,1,2023-11-21
TXN_4689500,6,4,16.0,0,0,2023-12-02
TXN_8989148,8,2,3.0,0,0,2023-11-25
TXN_8316826,2,3,6.0,0,1,2023-04-17
TXN_9836934,3,3,3.0,3,1,2023-03-13
TXN_8005489,1,3,9.0,0,1,2023-08-12
TXN_6463132,3,5,5.0,2,2,
TXN_3925836,3,3,3.0,3,1,2023-02-16
TXN_1896955,5,5,25.0,0,1,2023-09-23
TXN_5075974,7,4,16.0,3,0,2023-04-11
TXN_3978874,7,5,20.0,2,1,2023-03-13
TXN_8955912,6,1,4.0,0,0,2023-11-07
TXN_1136554,7,3,12.0,0,2,2023-03-26
TXN_8007337,1,2,6.0,3,2,2023-11-01
TXN_8129834,5,1,5.0,1,0,2023-07-22
TXN_3831848,0,1,4.0,3,2,2023-11-03
TXN_5365809,1,3,9.0,1,1,2023-09-14
TXN_8166407,7,2,8.0,0,0,2023-07-26
TXN_6629480,7,5,20.0,2,1,2023-02-28
TXN_3833797,2,4,8.0,0,1,2023-01-27
TXN_2643815,3,3,3.0,0,0,2023-12-06
TXN_2996519,1,5,15.0,1,0,2023-01-19
TXN_8810894,7,1,4.0,0,0,2023-02-20
TXN_7412722,4,4,12.0,1,1,2023-04-07
TXN_3937509,7,2,8.0,0,1,2023-03-20
TXN_6000201,3,3,3.0,1,2,2023-02-16
TXN_1714274,3,4,4.0,0,1,2023-12-27
TXN_3800182,8,2,3.0,1,1,2023-10-26
TXN_5115080,0,5,15.0,2,0,2023-02-18
TXN_9788956,4,4,12.0,0,0,2023-04-11
TXN_6311602,4,3,9.0,2,0,2023-05-15
TXN_2950680,2,2,4.0,2,2,2023-12-10
TXN_6749847,1,2,6.0,2,0,2023-08-15
TXN_2143187,7,1,4.0,0,1,2023-04-21
TXN_8964522,0,3,9.0,2,2,2023-10-28
TXN_4088917,2,3,6.0,1,2,2023-02-04
TXN_3779366,3,1,1.0,3,1,2023-04-15
TXN_7724048,7,1,4.0,0,1,2023-11-12
TXN_2698591,8,5,7.5,0,0,2023-08-05
TXN_3171373,7,3,12.0,2,1,2023-05-10
TXN_4129248,6,2,8.0,2,0,
TXN_6498163,7,5,20.0,0,1,2023-07-15
TXN_6717827,5,3,15.0,3,0,2023-11-15
TXN_9089898,5,3,15.0,2,0,2023-01-11
TXN_8587583,1,1,3.0,0,0,2023-10-01
TXN_8693704,5,5,25.0,1,1,2023-05-04
TXN_3857960,5,4,20.0,1,1,2023-04-26
TXN_3499124,0,4,16.0,2,0,2023-08-25
TXN_9250710,5,1,5.0,1,1,2023-05-28
TXN_7058377,4,1,3.0,0,2,2023-04-30
TXN_6766492,5,1,5.0,0,0,2023-01-14
TXN_9879996,2,4,8.0,3,1,2023-03-01
TXN_4291940,1,3,9.0,2,1,2023-11-13
TXN_7433461,3,2,2.0,3,0,2023-07-09
TXN_4068262,5,2,10.0,2,0,2023-05-13
TXN_5761073,3,1,1.0,1,1,
TXN_5047447,5,1,5.0,3,2,2023-12-27
TXN_6623508,3,5,5.0,3,2,2023-05-18
TXN_2651216,0,3,12.0,0,0,2023-04-04
TXN_9350833,1,1,3.0,1,2,2023-01-17
TXN_8377564,1,5,15.0,0,1,2023-07-14
TXN_7031118,5,1,5.0,2,0,2023-03-29
TXN_2230167,1,4,12.0,3,2,2023-09-22
TXN_6446616,8,3,4.5,0,0,2023-09-30
TXN_1721827,1,4,12.0,3,0,2023-08-22
TXN_6334895,7,1,4.0,2,0,2023-07-27
TXN_7077119,0,1,4.0,3,1,2023-12-30
TXN_8562645,5,0,0.0,0,1,2023-05-18
TXN_4700144,2,4,8.0,0,1,2023-12-21
TXN_5526852,6,5,20.0,3,1,2023-09-28
TXN_6846228,5,3,15.0,0,1,2023-11-16
TXN_8570890,4,4,12.0,0,0,2023-04-14
TXN_3205009,8,2,3.0,1,1,2023-01-03
TXN_3786188,8,3,4.5,2,1,2023-10-20
TXN_4530804,2,4,8.0,0,0,2023-01-12
TXN_9642066,6,3,12.0,2,1,2023-08-31
TXN_7328294,4,2,6.0,1,0,2023-07-07
TXN_1908636,8,2,3.0,0,0,
TXN_9238066,8,5,7.5,3,1,2023-09-15
TXN_5415901,1,2,6.0,3,0,2023-10-21
TXN_6714420,0,2,6.0,2,2,2023-03-30
TXN_6616971,4,2,6.0,3,2,2023-09-02
TXN_7803615,5,3,15.0,1,1,2023-12-13
TXN_7549542,3,5,5.0,0,2,
TXN_3544789,8,4,6.0,0,1,2023-07-14
TXN_1583597,5,1,5.0,1,1,2023-05-10
TXN_8472308,3,2,2.0,3,2,2023-08-19
TXN_1967565,7,5,20.0,2,2,2023-03-31
TXN_2029497,6,2,8.0,1,2,2023-01-06
TXN_8929774,0,3,9.0,1,0,2023-10-02
TXN_5003018,3,4,4.0,3,0,
TXN_7852990,6,5,20.0,3,2,2023-07-10
TXN_2534066,5,2,10.0,1,0,2023-10-13
TXN_2059647,8,1,1.5,3,1,2023-05-29
TXN_2485183,7,5,20.0,1,1,2023-07-07
TXN_7374846,6,1,4.0,2,0,2023-05-29
TXN_9401522,6,4,16.0,3,1,2023-11-16
TXN_8250651,6,4,16.0,3,1,2023-03-13
TXN_7191245,1,4,12.0,0,2,2023-05-22
TXN_8982764,1,5,15.0,3,2,2023-11-23
TXN_8669422,0,4,12.0,1,2,2023-10-15
TXN_1153869,7,5,20.0,2,2,2023-11-03
TXN_5043774,6,3,12.0,1,0,2023-06-08
TXN_1746320,5,1,5.0,1,0,2023-11-14
TXN_1077129,3,1,1.0,0,1,2023-09-12
TXN_4865338,6,4,16.0,0,1,2023-11-26
TXN_5616583,7,1,4.0,0,0,2023-10-13
TXN_2078474,3,2,2.0,0,2,2023-11-03
TXN_2130245,7,5,20.0,2,0,2023-11-13
TXN_3229409,4,0,0.0,1,2,2023-04-15
TXN_9076216,1,1,3.0,1,0,2023-12-17
TXN_6371987,8,5,7.5,0,2,2023-03-13
TXN_9913877,2,2,4.0,2,0,2023-05-09
TXN_2084377,7,1,4.0,2,0,2023-10-22
TXN_1842675,3,4,4.0,2,2,2023-06-23
TXN_8605813,3,1,1.0,0,0,2023-06-30
TXN_9755352,6,5,20.0,0,1,2023-05-13
TXN_7550498,4,5,15.0,0,1,
TXN_2305908,2,4,8.0,1,0,2023-04-25
TXN_6953697,0,3,12.0,0,2,2023-05-27
TXN_3495950,8,4,6.0,2,1,2023-02-19
TXN_7557340,8,5,7.5,2,1,2023-12-11
TXN_1157817,7,1,4.0,3,1,2023-04-25
TXN_2020318,8,3,4.5,3,1,2023-10-12
TXN_8692094,2,5,10.0,0,2,2023-08-30
TXN_5307411,1,3,9.0,3,2,2023-10-21
TXN_9703120,2,3,6.0,2,0,2023-11-02
TXN_1289133,4,1,3.0,1,0,2023-09-19
TXN_2031459,1,3,9.0,1,2,2023-07-04
TXN_1333682,7,1,4.0,3,0,2023-01-28
TXN_2256622,3,2,2.0,1,1,2023-10-04
TXN_1623966,8,2,3.0,1,2,
TXN_4912930,7,3,12.0,2,1,2023-02-26
TXN_4942692,2,2,4.0,0,2,2023-01-15
TXN_3723007,8,3,4.5,3,1,2023-05-18
TXN_7922392,6,3,12.0,0,0,2023-05-03
TXN_7498727,5,3,15.0,1,0,2023-11-06
TXN_1222338,3,1,1.0,0,1,2023-10-11
TXN_6878866,7,3,12.0,2,0,2023-02-25
TXN_1260335,3,4,4.0,3,1,
TXN_9223242,7,2,8.0,0,0,2023-09-10
TXN_6244211,7,2,8.0,0,0,2023-08-11
TXN_5446858,3,1,1.0,1,1,2023-11-07
TXN_4612864,8,3,4.5,0,0,2023-02-14
TXN_5411381,3,1,1.0,0,0,2023-04-28
TXN_3047598,3,1,1.0,0,0,2023-09-06
TXN_5754317,2,2,4.0,2,2,2023-01-10
TXN_7496926,6,3,12.0,0,1,2023-04-23
TXN_1726858,7,3,12.0,1,1,
TXN_7559388,5,4,20.0,3,2,2023-02-26
TXN_8540499,3,3,3.0,1,1,2023-01-22
TXN_4225756,3,3,3.0,0,1,2023-03-10
TXN_6795640,3,4,4.0,3,2,2023-01-28
TXN_6702428,2,5,10.0,1,2,2023-08-11
TXN_8955259,0,2,8.0,2,0,2023-11-18
TXN_4639319,2,5,10.0,1,0,2023-01-09
TXN_5997803,2,5,10.0,0,1,2023-12-03
TXN_1340956,2,4,8.0,0,0,2023-10-26
TXN_1259671,6,3,12.0,3,1,2023-10-08
TXN_8319993,4,1,3.0,3,0,2023-08-06
TXN_8894157,6,4,16.0,2,0,
TXN_5523450,5,5,25.0,2,2,2023-07-02
TXN_7838964,6,3,12.0,2,1,2023-06-15
TXN_2773987,7,5,20.0,0,0,2023-01-11
TXN_1158829,8,1,1.5,2,0,2023-10-02
TXN_2523298,8,4,6.0,0,1,2023-03-25
TXN_8685737,7,2,8.0,0,1,2023-11-02
TXN_5634135,3,2,2.0,0,0,2023-01-27
TXN_1524626,7,2,8.0,3,0,2023-12-29
TXN_7275407,7,2,8.0,3,1,2023-10-20
TXN_2889622,4,4,12.0,2,0,2023-11-01
TXN_6849113,3,1,1.0,2,0,2023-07-14
TXN_2265316,3,3,3.0,2,1,2023-12-29
TXN_9472241,5,3,15.0,1,2,2023-06-30
TXN_7345414,5,1,5.0,0,0,2023-02-15
TXN_4473352,1,1,3.0,0,1,2023-11-16
TXN_2814363,8,2,3.0,0,0,2023-07-02
TXN_1846004,4,3,9.0,1,1,2023-05-21
TXN_7140471,1,1,3.0,2,0,2023-05-25
TXN_3119542,7,1,4.0,2,0,2023-10-31
TXN_7773968,6,5,20.0,3,2,2023-02-24
TXN_9081088,8,2,3.0,1,2,2023-02-27
TXN_8559167,6,5,20.0,0,2,2023-12-09
TXN_1130191,7,2,8.0,1,1,2023-04-06
TXN_5215451,6,5,20.0,3,0,2023-11-02
TXN_1040764,2,3,6.0,1,2,2023-07-27
TXN_5457133,4,5,15.0,0,1,2023-03-03
TXN_8365478,0,3,12.0,1,2,2023-02-06
TXN_2100697,2,3,6.0,3,2,2023-09-19
TXN_7676968,7,4,16.0,0,1,2023-02-21
TXN_5726998,1,3,9.0,2,0,2023-08-12
TXN_4134594,6,3,12.0,3,1,2023-09-27
TXN_5079340,3,4,4.0,1,1,2023-08-18
TXN_8276635,0,4,16.0,3,2,2023-12-16
TXN_1380601,8,4,6.0,3,1,2023-03-11
TXN_3959152,4,1,3.0,0,1,2023-05-21
TXN_7776739,8,2,3.0,0,2,2023-02-23
TXN_7569615,0,2,6.0,1,2,2023-06-07
TXN_8703771,1,5,15.0,0,1,2023-05-12
TXN_2052395,7,3,12.0,2,1,2023-07-06
TXN_9421441,0,2,8.0,1,0,2023-06-20
TXN_9065402,5,1,5.0,1,2,2023-12-22
TXN_3638955,3,2,2.0,1,2,2023-09-02
TXN_2635532,0,4,16.0,1,2,2023-01-14
TXN_8256593,5,2,10.0,3,2,2023-08-09
TXN_9271457,1,3,9.0,3,1,2023-02-27
TXN_5392603,2,1,2.0,1,1,2023-05-14
TXN_6319728,2,2,4.0,2,1,2023-07-18
TXN_9263299,3,2,2.0,2,2,2023-10-08
TXN_2301505,1,5,15.0,3,0,2023-03-21
TXN_5895177,1,5,15.0,0,0,2023-08-16
TXN_8751516,8,3,4.5,1,2,
TXN_8147357,8,5,7.5,0,2,2023-04-20
TXN_1436343,3,1,1.0,2,1,2023-11-26
TXN_2214698,5,4,20.0,2,0,2023-10-10
TXN_7480234,5,1,5.0,1,2,2023-05-10
TXN_3283097,2,5,10.0,1,2,2023-02-28
TXN_2633602,0,2,6.0,3,1,2023-02-02
TXN_3093219,4,5,15.0,1,0,2023-01-28
TXN_3515730,3,1,1.0,2,0,2023-08-14
TXN_3665733,2,5,10.0,1,2,
TXN_4010658,8,5,7.5,0,0,2023-09-26
TXN_1454467,4,3,9.0,1,1,2023-03-15
TXN_2598728,1,2,6.0,2,0,2023-01-13
TXN_3390285,8,2,3.0,0,2,2023-02-06
TXN_8224079,3,5,5.0,1,1,2023-10-16
TXN_1916339,1,1,3.0,1,1,2023-07-15
TXN_8611035,6,5,20.0,3,1,2023-05-28
TXN_3595735,8,4,6.0,3,2,2023-03-26
TXN_4884822,3,1,1.0,2,0,2023-04-23
TXN_3668051,1,1,3.0,0,0,2023-11-17
TXN_6169633,5,4,20.0,2,2,2023-12-20
TXN_3884811,2,4,8.0,2,0,2023-06-10
TXN_7050740,0,1,3.0,1,2,2023-07-12
TXN_1234097,3,4,4.0,1,0,2023-12-04
TXN_4518102,8,5,7.5,2,1,2023-02-08
TXN_5939055,2,3,6.0,0,2,2023-10-21
TXN_7809183,3,4,4.0,3,2,2023-09-08
TXN_6071202,3,1,1.0,1,1,2023-06-07
TXN_8158496,8,4,6.0,1,0,2023-06-19
TXN_2726848,1,5,15.0,2,0,2023-09-11
TXN_3666858,1,4,12.0,2,1,2023-12-27
TXN_5499915,3,2,2.0,3,2,2023-02-01
TXN_4660753,4,1,3.0,2,2,2023-10-04
TXN_8089522,6,4,16.0,1,2,2023-02-12
TXN_1564754,5,3,15.0,3,1,2023-03-14
TXN_1824506,1,1,3.0,1,1,2023-03-02
TXN_3229758,2,4,8.0,1,2,
TXN_3677592,6,2,8.0,1,0,2023-05-29
TXN_1002457,3,5,5.0,3,2,2023-09-29
TXN_8056263,7,5,20.0,0,1,2023-04-20
TXN_4732351,6,1,4.0,3,1,2023-04-22
TXN_8049191,1,3,9.0,2,0,2023-07-31
TXN_4980036,1,2,6.0,1,2,2023-01-05
TXN_3022839,2,5,10.0,3,2,2023-08-25
TXN_7701070,2,5,10.0,2,2,2023-07-28
TXN_8048037,6,2,8.0,3,2,2023-03-31
TXN_4619029,6,3,12.0,2,1,
TXN_4444463,1,4,12.0,0,0,2023-05-16
TXN_1887522,6,4,16.0,1,1,2023-02-20
TXN_6908953,8,1,1.5,0,1,2023-12-08
TXN_4759769,6,1,4.0,0,1,2023-08-03
TXN_2254479,8,2,3.0,0,2,2023-08-03
TXN_7555408,5,2,10.0,0,1,2023-06-06
TXN_6857943,1,5,15.0,0,2,2023-01-08
TXN_4796350,0,3,12.0,0,2,
TXN_9552845,6,3,12.0,1,0,2023-02-18
TXN_6769465,4,5,15.0,3,1,2023-06-13
TXN_7438831,2,5,10.0,0,0,2023-12-24
TXN_3871837,8,3,4.5,3,2,2023-12-15
TXN_3656762,6,2,8.0,0,2,2023-07-31
TXN_4980282,1,1,3.0,3,1,2023-10-22
TXN_3580786,8,1,1.5,0,1,2023-03-28
TXN_4355728,0,4,12.0,2,0,2023-03-06
TXN_2508476,7,5,20.0,1,0,2023-04-14
TXN_1325631,1,4,12.0,2,1,2023-02-11
TXN_8209125,3,3,3.0,2,2,2023-01-30
TXN_1751164,5,2,10.0,1,0,2023-09-11
TXN_3730415,1,4,12.0,2,2,2023-04-09
TXN_4134253,8,4,6.0,1,1,2023-10-07
TXN_3256497,2,2,4.0,1,0,2023-08-20
TXN_8763180,7,1,4.0,0,2,2023-04-16
TXN_3219175,6,5,20.0,0,0,2023-02-23
TXN_6234872,7,1,4.0,0,0,2023-12-23
TXN_7919440,8,4,6.0,1,0,2023-08-19
TXN_7558641,2,1,2.0,3,1,2023-12-22
TXN_9940220,4,2,6.0,0,2,2023-03-05
TXN_8805984,4,2,6.0,2,2,
TXN_2130483,8,4,6.0,1,0,2023-11-25
TXN_1972584,6,5,20.0,3,0,2023-07-10
TXN_3150792,2,5,10.0,1,0,2023-07-02
TXN_2980008,1,3,9.0,3,0,2023-11-17
TXN_5511805,4,1,3.0,0,2,2023-06-03
TXN_7292548,3,4,4.0,3,0,2023-03-24
TXN_2169664,7,1,4.0,1,0,2023-07-23
TXN_3234877,2,4,8.0,1,2,2023-07-29
TXN_6368719,1,4,12.0,2,2,2023-01-03
TXN_8852585,6,4,16.0,2,2,2023-01-05
TXN_9201010,5,1,5.0,2,2,2023-03-15
TXN_7817014,3,1,1.0,3,2,
TXN_2873990,6,2,8.0,0,0,2023-03-12
TXN_3088796,6,4,16.0,2,0,2023-08-16
TXN_3414935,2,4,8.0,0,1,2023-08-03
TXN_3607652,5,4,20.0,3,1,2023-06-05
TXN_8502094,4,5,15.0,2,1,2023-03-21
TXN_9068244,6,5,20.0,3,2,2023-10-19
TXN_2696664,3,5,5.0,0,1,2023-01-07
TXN_7661609,0,1,3.0,0,1,2023-11-29
TXN_7633490,3,1,1.0,1,2,2023-10-27
TXN_9292230,8,4,6.0,2,1,2023-07-14
TXN_1664665,0,3,9.0,2,1,2023-05-21
TXN_5081978,1,1,3.0,0,1,2023-10-19
TXN_7314409,7,5,20.0,2,0,2023-08-06
TXN_4573576,0,2,6.0,1,1,2023-07-05
TXN_5645919,2,3,6.0,2,0,2023-01-17
TXN_8006668,8,4,6.0,2,1,2023-12-22
TXN_8818168,4,4,12.0,3,0,2023-07-20
TXN_4369043,4,2,6.0,1,0,2023-03-25
TXN_3560062,3,1,1.0,1,1,2023-03-20
TXN_4769307,8,5,7.5,3,0,2023-12-24
TXN_7270652,6,1,4.0,0,2,2023-05-14
TXN_4991815,1,5,15.0,1,0,2023-11-06
TXN_6360132,6,4,16.0,1,2,2023-09-16
TXN_8199829,1,2,6.0,2,0,2023-07-29
TXN_9166449,3,4,4.0,0,2,2023-07-31
TXN_7864939,6,3,12.0,3,1,2023-08-19
TXN_2640701,5,3,15.0,0,2,2023-05-07
TXN_3740963,5,2,10.0,3,2,2023-01-22
TXN_8101633,6,2,8.0,0,1,2023-08-10
TXN_6063966,4,2,6.0,3,2,2023-10-24
TXN_3779640,8,1,1.5,3,1,2023-05-16
TXN_8278833,1,3,9.0,0,0,2023-02-26
TXN_8778598,6,3,12.0,1,0,2023-09-02
TXN_7550103,1,5,15.0,0,2,2023-01-19
TXN_3664656,3,5,5.0,0,2,2023-08-13
TXN_7296560,4,2,6.0,0,0,2023-10-20
TXN_8136881,5,3,15.0,1,1,2023-08-28
TXN_3981449,7,2,8.0,1,1,2023-06-21
TXN_5427506,1,3,9.0,1,2,2023-09-15
TXN_2641386,6,3,12.0,0,2,2023-03-25
TXN_1485417,3,3,3.0,1,1,
TXN_4033802,8,3,4.5,1,2,2023-03-02
TXN_7752124,0,3,12.0,2,0,2023-12-09
TXN_9762324,1,2,6.0,1,1,
TXN_1628509,7,5,20.0,0,2,
TXN_8259257,8,2,3.0,0,1,2023-12-13
TXN_4183823,6,4,16.0,2,0,2023-03-28
TXN_2239041,8,4,6.0,0,1,2023-10-24
TXN_4696439,3,1,1.0,1,1,2023-05-27
TXN_8826983,7,5,20.0,1,1,2023-01-14
TXN_8267034,4,2,6.0,0,2,2023-06-20
TXN_1959334,2,3,6.0,0,0,2023-06-29
TXN_6842808,8,2,3.0,0,0,2023-10-22
